"createdAt","page_title","url_route","user_time_in_page","user_scrolled","user_first_visit","user_location","referrer","num_of_clicks","element_clicked.url_route","element_clicked.tag_name","element_clicked.class_name","element_clicked.id","element_clicked.page_x","element_clicked.page_y","element_clicked.page_width","element_clicked.page_height","element_clicked.client_x","element_clicked.client_y","element_clicked.client_width","element_clicked.client_height"
"2022-12-07T01:51:56.628Z","Home","/",,,false,"Quito, Ecuador","http://127.0.0.1:5500/",,,,,,,,,,,,,
"2022-12-07T01:52:04.769Z",,,,,,,,,"/","body","","",190,375,1920,1610,190,375,1920,874
"2022-12-07T01:52:05.246Z",,,8.95,false,,,,1,,,,,,,,,,,,
"2022-12-07T01:52:05.707Z","Home","/",,,false,"Quito, Ecuador","http://127.0.0.1:5500/",,,,,,,,,,,,,
"2022-12-07T01:52:15.551Z",,,,,,,,,"/","body","","",232,1248,1920,1610,232,512,1920,874
"2022-12-07T01:52:15.894Z",,,,,,,,,"/","pre","","",462,1263,1920,1610,462,527,1920,874
"2022-12-07T01:52:17.375Z",,,,,,,,,"/","pre","","",706,1271,1920,1610,706,535,1920,874
"2022-12-07T01:52:17.510Z",,,,,,,,,"/","pre","","",706,1271,1920,1610,706,535,1920,874
"2022-12-07T01:52:17.646Z",,,,,,,,,"/","pre","","",706,1271,1920,1610,706,535,1920,874
"2022-12-07T01:52:18.001Z",,,,,,,,,"/","div","content my-4","",584,1319,1920,1610,584,583,1920,874
"2022-12-07T01:52:18.396Z",,,,,,,,,"/","pre","","",631,1268,1920,1610,631,532,1920,874
"2022-12-07T01:52:21.501Z",,,,,,,,,"/","pre","","",523,1467,1920,1610,523,731,1920,874
"2022-12-07T01:52:21.660Z",,,,,,,,,"/","pre","","",523,1467,1920,1610,523,731,1920,874
"2022-12-07T01:52:22.075Z",,,,,,,,,"/","pre","","",549,1494,1920,1610,549,758,1920,874
"2022-12-07T01:52:22.523Z",,,,,,,,,"/","pre","","",605,1449,1920,1610,605,713,1920,874
"2022-12-07T01:52:24.144Z",,,,,,,,,"/","p","","",791,1570,1920,1610,791,834,1920,874
"2022-12-07T01:52:24.518Z",,,,,,,,,"/","pre","","",807,1526,1920,1610,807,790,1920,874
"2022-12-07T01:52:26.471Z",,,,,,,,,"/","h2","title is-3","",340,1141,1920,1610,340,405,1920,874
"2022-12-07T01:52:28.966Z",,,,,,,,,"/","p","","",513,222,1920,1610,513,222,1920,874
"2022-12-07T01:52:30.159Z",,,,,,,,,"/","pre","","",637,644,1920,1610,637,428,1920,874
"2022-12-07T01:52:31.643Z",,,,,,,,,"/","pre","","",373,804,1920,1610,373,588,1920,874
"2022-12-07T01:52:31.807Z",,,,,,,,,"/","pre","","",372,807,1920,1610,372,588,1920,874
"2022-12-07T01:52:32.345Z",,,,,,,,,"/","pre","","",315,702,1920,1610,315,483,1920,874
"2022-12-07T01:52:32.679Z",,,,,,,,,"/","pre","","",331,773,1920,1610,331,554,1920,874
"2022-12-07T01:52:34.208Z",,,,,,,,,"/","a","navbar-item","",332,23,1920,1610,332,23,1920,874
