"createdAt","page_title","url_route","user_time_in_page","user_scrolled","user_first_visit","user_location","referrer","num_of_clicks","element_clicked.url_route","element_clicked.tag_name","element_clicked.class_name","element_clicked.id","element_clicked.page_x","element_clicked.page_y","element_clicked.page_width","element_clicked.page_height","element_clicked.client_x","element_clicked.client_y","element_clicked.client_width","element_clicked.client_height"
"2022-12-07T03:25:11.963Z","Example Article","/article/",,,false,"Quito, Ecuador","http://localhost:5500/article/",,,,,,,,,,,,,
"2022-12-07T03:25:14.977Z",,,3.349,false,,,,0,,,,,,,,,,,,
"2022-12-07T03:25:18.978Z","Home","/",,,true,"Quito, Ecuador","",,,,,,,,,,,,,
"2022-12-07T03:25:21.112Z",,,,,,,,,"/","h1","title is-2","",311,99,1920,1610,311,99,1920,816
"2022-12-07T03:25:21.978Z",,,,,,,,,"/","h2","title is-3","",618,166,1920,1610,618,166,1920,816
"2022-12-07T03:25:22.330Z",,,,,,,,,"/","h2","title is-3","",751,178,1920,1610,751,178,1920,816
"2022-12-07T03:25:23.033Z",,,,,,,,,"/","p","","",672,219,1920,1610,672,219,1920,816
"2022-12-07T03:25:23.380Z",,,,,,,,,"/","p","","",903,233,1920,1610,903,233,1920,816
"2022-12-07T03:25:25.179Z",,,,,,,,,"/","h2","title is-3","",337,1130,1920,1610,337,336,1920,816
"2022-12-07T03:25:25.308Z",,,,,,,,,"/","h2","title is-3","",337,1130,1920,1610,337,336,1920,816
"2022-12-07T03:25:25.726Z",,,,,,,,,"/","p","","",350,1196,1920,1610,350,402,1920,816
"2022-12-07T03:25:26.516Z",,,,,,,,,"/","h2","title is-3","",318,1137,1920,1610,318,343,1920,816
"2022-12-07T03:25:26.991Z",,,,,,,,,"/","p","","",302,1190,1920,1610,302,396,1920,816
"2022-12-07T03:25:28.047Z",,,,,,,,,"/","pre","","",1006,1243,1920,1610,1006,449,1920,816
"2022-12-07T03:25:28.812Z",,,,,,,,,"/","pre","","",1180,1249,1920,1610,1180,455,1920,816
"2022-12-07T03:25:29.139Z",,,,,,,,,"/","pre","","",1281,1248,1920,1610,1281,454,1920,816
"2022-12-07T03:25:29.463Z",,,,,,,,,"/","pre","","",1388,1257,1920,1610,1388,463,1920,816
"2022-12-07T03:25:29.811Z",,,,,,,,,"/","pre","","",1352,1245,1920,1610,1352,451,1920,816
"2022-12-07T03:25:30.152Z",,,,,,,,,"/","pre","","",942,1253,1920,1610,942,459,1920,816
"2022-12-07T03:25:30.424Z",,,,,,,,,"/","pre","","",575,1252,1920,1610,575,458,1920,816
"2022-12-07T03:25:30.778Z",,,,,,,,,"/","pre","","",435,1244,1920,1610,435,450,1920,816
"2022-12-07T03:25:31.320Z",,,,,,,,,"/","pre","","",324,1249,1920,1610,324,455,1920,816
"2022-12-07T03:25:31.740Z",,,,,,,,,"/","pre","","",513,1254,1920,1610,513,460,1920,816
"2022-12-07T03:25:32.180Z",,,,,,,,,"/","pre","","",758,1247,1920,1610,758,453,1920,816
"2022-12-07T03:25:32.518Z",,,,,,,,,"/","pre","","",854,1249,1920,1610,854,455,1920,816
"2022-12-07T03:25:32.789Z",,,,,,,,,"/","pre","","",1088,1248,1920,1610,1088,454,1920,816
"2022-12-07T03:25:33.073Z",,,,,,,,,"/","pre","","",1296,1235,1920,1610,1296,441,1920,816
"2022-12-07T03:25:33.316Z",,,,,,,,,"/","pre","","",1358,1238,1920,1610,1358,444,1920,816
"2022-12-07T03:25:34.276Z",,,,,,,,,"/","pre","","",319,1426,1920,1610,319,632,1920,816
"2022-12-07T03:25:34.660Z",,,,,,,,,"/","pre","","",455,1428,1920,1610,455,634,1920,816
"2022-12-07T03:25:34.911Z",,,,,,,,,"/","pre","","",553,1445,1920,1610,553,651,1920,816
"2022-12-07T03:25:35.154Z",,,,,,,,,"/","pre","","",483,1472,1920,1610,483,678,1920,816
"2022-12-07T03:25:35.415Z",,,,,,,,,"/","pre","","",430,1504,1920,1610,430,710,1920,816
"2022-12-07T03:25:35.912Z",,,,,,,,,"/","pre","","",337,1515,1920,1610,337,721,1920,816
"2022-12-07T03:25:36.214Z",,,,,,,,,"/","pre","","",526,1418,1920,1610,526,624,1920,816
"2022-12-07T03:25:36.551Z",,,,,,,,,"/","pre","","",594,1462,1920,1610,594,668,1920,816
"2022-12-07T03:25:37.150Z",,,,,,,,,"/","pre","","",423,1445,1920,1610,423,651,1920,816
"2022-12-07T03:25:37.598Z",,,,,,,,,"/","pre","","",606,1473,1920,1610,606,679,1920,816
"2022-12-07T03:25:37.946Z",,,,,,,,,"/","pre","","",593,1436,1920,1610,593,642,1920,816
"2022-12-07T03:25:39.425Z",,,,,,,,,"/","a","navbar-item","",326,35,1920,1610,326,35,1920,816
"2022-12-07T03:25:39.444Z",,,20.838,true,,,,37,,,,,,,,,,,,
"2022-12-07T03:25:40.055Z","Example Article","/article/",,,false,"Quito, Ecuador","http://localhost:5500/",,,,,,,,,,,,,
"2022-12-07T03:25:40.587Z",,,,,,,,,"/article/","h1","title is-2","",315,105,1920,1112,315,105,1920,816
"2022-12-07T03:25:40.939Z",,,,,,,,,"/article/","h1","title is-2","",1082,119,1920,1112,1082,119,1920,816
"2022-12-07T03:25:41.259Z",,,,,,,,,"/article/","h1","title is-2","",1247,98,1920,1112,1247,98,1920,816
"2022-12-07T03:25:42.535Z",,,,,,,,,"/article/","p","","",399,161,1920,1112,399,161,1920,816
"2022-12-07T03:25:42.882Z",,,,,,,,,"/article/","p","","",809,216,1920,1112,809,216,1920,816
"2022-12-07T03:25:43.178Z",,,,,,,,,"/article/","p","","",844,189,1920,1112,844,189,1920,816
"2022-12-07T03:25:43.595Z",,,,,,,,,"/article/","p","","",864,144,1920,1112,864,144,1920,816
"2022-12-07T03:25:44.326Z",,,,,,,,,"/article/","p","","",689,285,1920,1112,689,285,1920,816
"2022-12-07T03:25:44.539Z",,,,,,,,,"/article/","p","","",665,241,1920,1112,665,241,1920,816
"2022-12-07T03:25:45.259Z",,,,,,,,,"/article/","p","","",505,389,1920,1112,505,389,1920,816
"2022-12-07T03:25:45.888Z",,,,,,,,,"/article/","p","","",378,334,1920,1112,378,334,1920,816
"2022-12-07T03:25:47.365Z",,,,,,,,,"/article/","a","like","",374,852,1920,1112,374,591,1920,816
"2022-12-07T03:25:47.726Z",,,,,,,,,"/article/","strong","","",404,775,1920,1112,404,514,1920,816
"2022-12-07T03:25:48.362Z",,,,,,,,,"/article/","a","reply","",434,848,1920,1112,434,587,1920,816
"2022-12-07T03:25:49.380Z",,,,,,,,,"/article/","strong","","",448,903,1920,1112,448,607,1920,816
"2022-12-07T03:25:49.692Z",,,,,,,,,"/article/","img","","",372,907,1920,1112,372,611,1920,816
"2022-12-07T03:25:50.072Z",,,,,,,,,"/article/","img","","",319,778,1920,1112,319,482,1920,816
"2022-12-07T03:25:50.488Z",,,,,,,,,"/article/","img","","",300,804,1920,1112,300,508,1920,816
"2022-12-07T03:25:50.759Z",,,,,,,,,"/article/","img","","",343,782,1920,1112,343,486,1920,816
"2022-12-07T03:25:51.598Z",,,,,,,,,"/article/","img","","",306,775,1920,1112,306,479,1920,816
"2022-12-07T03:25:52.142Z",,,,,,,,,"/article/","img","","",381,894,1920,1112,381,598,1920,816
"2022-12-07T03:25:52.457Z",,,,,,,,,"/article/","img","","",393,921,1920,1112,393,625,1920,816
"2022-12-07T03:25:52.683Z",,,,,,,,,"/article/","img","","",407,904,1920,1112,407,608,1920,816
"2022-12-07T03:25:52.919Z",,,,,,,,,"/article/","img","","",374,932,1920,1112,374,636,1920,816
"2022-12-07T03:25:53.335Z",,,,,,,,,"/article/","img","","",379,1044,1920,1112,379,748,1920,816
